x,Y,Z
-1310.365967,336.875999,97.965729
-1310.365967,351.875999,98.082581
-1310.365967,366.875999,93.848875
-1310.365967,381.875999,90.246516
-1310.365967,396.875999,86.525756
-1310.365967,411.875999,88.975859
-1310.365967,426.875999,88.833797
-1310.365967,441.875999,88.205065
-1310.365967,456.875999,90.950791
-1310.365967,471.875999,95.988512
-1310.365967,486.875999,99.079227
-1310.365967,501.875999,102.743345
-1310.365967,516.875999,108.226465
-1310.365967,531.875999,114.467329
-1310.365967,546.875999,121.736564
-1310.365967,561.875999,126.364847
-1310.365967,576.875999,131.219174
-1310.365967,591.875999,127.968368
-1310.365967,606.875999,134.664139
-1310.365967,621.875999,140.710526
-1310.365967,636.875999,141.936026
-1310.365967,651.875999,146.357810
-1310.365967,666.875999,151.624979
-1310.365967,681.875999,153.202632
-1310.365967,696.875999,160.516454
-1310.365967,711.875999,163.001228
-1310.365967,726.875999,164.814105
-1310.365967,741.875999,173.690343
-1310.365967,756.875999,175.007118
-1295.365967,-53.124001,202.545275
-1295.365967,-38.124001,198.700429
-1295.365967,-23.124001,198.318202
-1295.365967,-8.124001,193.449040
-1295.365967,6.875999,185.399251
-1295.365967,21.875999,185.954604
-1295.365967,36.875999,194.063623
-1295.365967,51.875999,191.451879
-1295.365967,66.875999,193.371970
-1295.365967,81.875999,186.101317
-1295.365967,96.875999,184.146849
-1295.365967,111.875999,180.018299
-1295.365967,126.875999,176.035593
-1295.365967,141.875999,181.413364
-1295.365967,156.875999,182.119927
-1295.365967,171.875999,177.458827
-1295.365967,186.875999,175.460440
-1295.365967,201.875999,164.630579
-1295.365967,216.875999,161.013060
-1295.365967,231.875999,147.995935
-1295.365967,246.875999,145.111436
-1295.365967,261.875999,140.665111
-1295.365967,276.875999,129.316069
-1295.365967,291.875999,119.401180
-1295.365967,306.875999,113.419760
-1295.365967,321.875999,98.742051
-1295.365967,336.875999,94.145027
-1295.365967,351.875999,96.154714
-1295.365967,366.875999,94.592273
-1295.365967,381.875999,92.080390
-1295.365967,396.875999,88.148330
-1295.365967,411.875999,89.629457
-1295.365967,426.875999,88.738387
-1295.365967,441.875999,86.773226
-1295.365967,456.875999,88.459322
-1295.365967,471.875999,92.802543
-1295.365967,486.875999,94.529730
-1295.365967,501.875999,103.334258
-1295.365967,516.875999,108.513145
-1295.365967,531.875999,113.856515
-1295.365967,546.875999,119.946714
-1295.365967,561.875999,127.075708
-1295.365967,576.875999,136.277056
-1295.365967,591.875999,146.244521
